start-page,end-page,title,composer,reference
207,207,Swing 48,Django,Django Fakebook 2008
208,208,Swing de Paris,Django,Django Fakebook 2008
209,209,Swing Gitan,Angelo Debarre,Django Fakebook 2008
210,210,Swing guitars,Django,Django Fakebook 2008
211,212,Swing rhumba,Djalma Ferreira,Django Fakebook 2008
213,213,Swingtime in springtime,Django,Django Fakebook 2008
214,215,Swing valse,Viseur & Ferret,Django Fakebook 2008
216,216,Syracuse,Henri Salvador,Django Fakebook 2008
217,218,Tchavolo swing,Tchavolo Schmitt,Django Fakebook 2008
219,219,Tea for two,Youmans & Ceasar,Django Fakebook 2008
220,220,Tears,Django,Django Fakebook 2008
221,221,Them there eyes - QHCF Version,Pinkard Tauber & Tracy,Django Fakebook 2008
222,222,Them there eyes,Pinkard Tauber & Tracy,Django Fakebook 2008
223,223,Third Man theme,Anton Karas,Django Fakebook 2008
224,224,Three little words,Ruby & Kalmar,Django Fakebook 2008
225,226,Tico tico,Zequinha Abrieu,Django Fakebook 2008
227,227,Topsy,Eddie Durham,Django Fakebook 2008
228,228,Topsy Part 2,Eddie Durham,Django Fakebook 2008
229,229,Troublant bolero,Django,Django Fakebook 2008
230,230,Twilight in Turkey,Raymond Scott,Django Fakebook 2008
231,231,Two cigarettes in the dark,Pollack,Django Fakebook 2008
232,232,Two guitars,Trad,Django Fakebook 2008
233,233,Ultrafox,Grappelli & Django,Django Fakebook 2008
234,234,Undecided,Robin & Shavers,Django Fakebook 2008
235,235,Une historie simple,Babik Reinhardt,Django Fakebook 2008
236,236,Un homme et une femme,Baroun & Lai,Django Fakebook 2008
237,237,Vendredi 13,Django & Rostaing,Django Fakebook 2008
238,238,Viper's dream,Django,Django Fakebook 2008
239,239,Vous et moi,Bosmans,Django Fakebook 2008
240,240,Vous qui passez sans me voir,Misraki Hess & Trenet,Django Fakebook 2008
241,241,When day is done,Smith & Praeger,Django Fakebook 2008
242,242,Whispering,Coburn Rose & Schonberger,Django Fakebook 2008
